---------------------------------------------------------------------------
Element                     Xe
Energy Cutoff(Ry)           100
Radius Cutoff(a.u.)         9
Lmax                        3
Number of Sorbital-->       1
Number of Porbital-->       1
Number of Dorbital-->       1
Number of Forbital-->       0
---------------------------------------------------------------------------
SUMMARY  END

Mesh                        901
dr                          0.01
                Type                   L                   N
                   0                   0                   0
-2.41710555295410e-01  -2.41765947607786e-01  -2.41932082832054e-01  -2.42208835870415e-01  
-2.42595998362398e-01  -2.43093278888412e-01  -2.43700303254212e-01  -2.44416614855789e-01  
-2.45241675124060e-01  -2.46174864048572e-01  -2.47215480779336e-01  -2.48362744305753e-01  
-2.49615794211477e-01  -2.50973691503953e-01  -2.52435419517236e-01  -2.53999884886595e-01  
-2.55665918593312e-01  -2.57432277077977e-01  -2.59297643420500e-01  -2.61260628584967e-01  
-2.63319772727412e-01  -2.65473546564473e-01  -2.67720352800887e-01  -2.70058527613674e-01  
-2.72486342190849e-01  -2.75002004322452e-01  -2.77603660041633e-01  -2.80289395313546e-01  
-2.83057237769741e-01  -2.85905158485759e-01  -2.88831073799627e-01  -2.91832847168934e-01  
-2.94908291064193e-01  -2.98055168896195e-01  -3.01271196975077e-01  -3.04554046498854e-01  
-3.07901345569175e-01  -3.11310681232112e-01  -3.14779601541798e-01  -3.18305617644785e-01  
-3.21886205883020e-01  -3.25518809913370e-01  -3.29200842841675e-01  -3.32929689369353e-01  
-3.36702707950595e-01  -3.40517232958276e-01  -3.44370576856684e-01  -3.48260032379278e-01  
-3.52182874709674e-01  -3.56136363664110e-01  -3.60117745873690e-01  -3.64124256964714e-01  
-3.68153123735458e-01  -3.72201566327787e-01  -3.76266800391992e-01  -3.80346039243310e-01  
-3.84436496008545e-01  -3.88535385761301e-01  -3.92639927644276e-01  -3.96747346977143e-01  
-4.00854877348519e-01  -4.04959762690535e-01  -4.09059259334547e-01  -4.13150638046499e-01  
-4.17231186040488e-01  -4.21298208969043e-01  -4.25349032888669e-01  -4.29381006199169e-01  
-4.33391501555291e-01  -4.37377917749206e-01  -4.41337681562359e-01  -4.45268249585206e-01  
-4.49167110003365e-01  -4.53031784348701e-01  -4.56859829213871e-01  -4.60648837928865e-01  
-4.64396442198067e-01  -4.68100313696404e-01  -4.71758165623111e-01  -4.75367754211721e-01  
-4.78926880194848e-01  -4.82433390222395e-01  -4.85885178231821e-01  -4.89280186769158e-01  
-4.92616408259476e-01  -4.95891886225559e-01  -4.99104716453591e-01  -5.02253048104694e-01  
-5.05335084771231e-01  -5.08349085476840e-01  -5.11293365619209e-01  -5.14166297854718e-01  
-5.16966312924100e-01  -5.19691900418370e-01  -5.22341609484366e-01  -5.24914049469303e-01  
-5.27407890503856e-01  -5.29821864023365e-01  -5.32154763226855e-01  -5.34405443473664e-01  
-5.36572822617564e-01  -5.38655881278374e-01  -5.40653663051146e-01  -5.42565274653139e-01  
